MeterNo,IsSuccessful,CompletedOn
CRYT3039184,True,2025-21-04 14:21:46,
CRYT3067598,True,2025-21-04 14:21:40,
CRYT3071459,True,2025-21-04 14:21:40,
CRYT3033622,True,2025-21-04 14:21:41,
CRYT3159733,True,2025-21-04 14:21:40,
CRYT3151592,True,2025-21-04 14:21:41,
CRYT3156792,True,2025-21-04 14:21:42,
CRYT3154415,True,2025-21-04 14:21:42,
CRYT3151576,True,2025-21-04 14:21:41,
CRYT3033611,True,2025-21-04 14:21:42,
CRYT3032854,True,2025-21-04 14:21:42,
CRYT3067059,False,2025-22-04 14:22:41,Id_285 CRYT3067059 Could not open tcp connection
CRYT3065251,True,2025-21-04 14:21:43,
CRYT3069661,True,2025-21-04 14:21:43,
CRYT3153147,True,2025-21-04 14:21:43,
CRYT3158431,True,2025-21-04 14:21:44,
CRYT3158136,True,2025-21-04 14:21:44,
CRYT3074960,False,2025-22-04 14:22:43,Id_291 CRYT3074960 Could not open tcp connection
CRYT3151798,False,2025-22-04 14:22:43,Id_292 CRYT3151798 Could not open tcp connection
CRYT3320681,False,2025-22-04 14:22:43,Id_293 CRYT3320681 Could not open tcp connection
CRYT3025852,True,2025-21-04 14:21:45,
CRYT3025834,True,2025-21-04 14:21:45,
CRYT3071662,True,2025-21-04 14:21:45,
CRYT3382401,True,2025-21-04 14:21:46,
CRYT3155221,False,2025-22-04 14:22:44,Id_298 CRYT3155221 Could not open tcp connection
CRYT3157287,False,2025-22-04 14:22:44,Id_299 CRYT3157287 Could not open tcp connection
CRYT3160558,True,2025-21-04 14:21:54,
CRYT3159282,True,2025-21-04 14:21:47,
CRYT3026017,True,2025-21-04 14:21:47,
CRYT3025220,True,2025-21-04 14:21:47,
CRYT3035519,False,2025-22-04 14:22:45,Id_304 CRYT3035519 Could not open tcp connection
CRYT3019720,False,2025-22-04 14:22:46,Id_305 CRYT3019720 Could not open tcp connection
CRYT3040650,True,2025-21-04 14:21:47,
CRYT3071073,True,2025-21-04 14:21:48,
CRYT3071786,True,2025-21-04 14:21:56,
CRYT3039145,True,2025-21-04 14:21:48,
CRYT3071897,True,2025-21-04 14:21:49,
CRYT3025226,True,2025-21-04 14:21:50,
CRYT3018317,False,2025-22-04 14:22:48,Id_312 CRYT3018317 Could not open tcp connection
CRYT3025640,True,2025-21-04 14:21:51,
CRYT3017828,True,2025-21-04 14:21:51,
CRYT3038939,True,2025-21-04 14:21:51,
CRYT3033027,False,2025-22-04 14:22:50,Id_316 CRYT3033027 Could not open tcp connection
CRYT3065538,False,2025-22-04 14:22:50,Id_317 CRYT3065538 Could not open tcp connection
CRYT3072414,True,2025-21-04 14:21:52,
CRYT3034569,False,2025-22-04 14:22:51,Id_319 CRYT3034569 Could not open tcp connection
CRYT3026477,True,2025-22-04 14:22:00,
CRYT3037263,True,2025-21-04 14:21:54,
CRYT3029506,True,2025-21-04 14:21:55,
CRYT3039580,False,2025-22-04 14:22:53,Id_323 CRYT3039580 Could not open tcp connection
CRYT3034760,True,2025-21-04 14:21:55,
