Meter No.,IP ,Keys 
CRYT3033158,2405:0203:c3f4:AF46:0000:0000:0000:0010,123
CRYT3160960,2405:0203:c3f4:EF9F:0000:0000:0000:0010,123
CRYT3154197,2405:0203:c3f9:A624:0000:0000:0000:0010,123
CRYT3028347,2405:0203:c3f4:7644:0000:0000:0000:0010,123
CRYT3159183,2405:0203:c3f9:B448:0000:0000:0000:0010,123
CRYT3150101,2405:0203:c3f9:66E8:0000:0000:0000:0010,123
CRYT3161489,2405:0203:c3f9:A57D:0000:0000:0000:0010,123
CRYT3152153,2405:0203:c3f9:C155:0000:0000:0000:0010,123
CRYT3071020,2405:0203:c3f4:C6B2:0000:0000:0000:0010,123
CRYT3040689,2405:0203:c3f4:B742:0000:0000:0000:0010,123
CRYT3068208,2405:0203:c3f4:D154:0000:0000:0000:0010,123
CRYT3071493,2405:0203:c3f4:CB33:0000:0000:0000:0010,123
CRYT3032827,2405:0203:c3f4:AE5B:0000:0000:0000:0010,123
CRYT3071737,2405:0203:c3f4:8A3F:0000:0000:0000:0010,123
CRYT3072392,2405:0203:c3f9:8980:0000:0000:0000:0010,123
CRYT3042193,2405:0203:c3f4:AFBD:0000:0000:0000:0010,123
CRYT3070960,2405:0203:c3f4:C678:0000:0000:0000:0010,123
CRYT3151901,2405:0203:c3f9:C259:0000:0000:0000:0010,123
CRYT3155228,2405:0203:c3f4:EE5F:0000:0000:0000:0010,123
CRYT3154185,2405:0203:c3f9:A2B9:0000:0000:0000:0010,123
CRYT3154486,2405:0203:c3f4:ED08:0000:0000:0000:0010,123
CRYT3155357,2405:0203:c3f4:EDC2:0000:0000:0000:0010,123
CRYT3073712,2405:0203:c3f9:8559:0000:0000:0000:0010,123
CRYT3032901,2405:0203:c3f4:AE57:0000:0000:0000:0010,123
CRYT3041191,2405:0203:c3f4:A751:0000:0000:0000:0010,123
CRYT3030593,2405:0203:c3f4:B8CA:0000:0000:0000:0010,123
CRYT3033127,2405:0203:c3f4:ACC9:0000:0000:0000:0010,123
CRYT3067859,2405:0203:c3f4:C7CF:0000:0000:0000:0010,123
CRYT3067958,2405:0203:c3f4:D11F:0000:0000:0000:0010,123
CRYT3031478,2405:0203:c3f4:B2E2:0000:0000:0000:0010,123
CRYT3069361,2405:0203:c3f4:C4E0:0000:0000:0000:0010,123
CRYT3039393,2405:0203:c3f4:75EA:0000:0000:0000:0010,123
CRYT3069123,2405:0203:c3f4:CE1F:0000:0000:0000:0010,123
CRYT3071233,2405:0203:c3f4:C5FF:0000:0000:0000:0010,123
CRYT3071892,2405:0203:c3f4:8CFA:0000:0000:0000:0010,123
CRYT3066471,2405:0203:c3f4:734D:0000:0000:0000:0010,123
CRYT3068673,2405:0203:c3f4:CF63:0000:0000:0000:0010,123
CRYT3068141,2405:0203:c3f4:D0C7:0000:0000:0000:0010,123
CRYT3065496,2405:0203:c3f4:7C15:0000:0000:0000:0010,123
CRYT3065434,2405:0203:c3f4:9788:0000:0000:0000:0010,123
CRYT3066923,2405:0203:c3f4:D2B2:0000:0000:0000:0010,123
CRYT3069861,2405:0203:c3f4:C2B6:0000:0000:0000:0010,123
CRYT3074307,2405:0203:c3f9:8AA1:0000:0000:0000:0010,123
CRYT3065627,2405:0203:c3f4:7447:0000:0000:0000:0010,123
CRYT3066572,2405:0203:c3f4:7CBB:0000:0000:0000:0010,123
CRYT3070634,2405:0203:c3f4:CBEA:0000:0000:0000:0010,123
CRYT3071539,2405:0203:c3f9:8B6C:0000:0000:0000:0010,123
CRYT3040279,2405:0203:c3f4:B96F:0000:0000:0000:0010,123
CRYT3065733,2405:0203:c3f4:65EC:0000:0000:0000:0010,123
CRYT3029111,2405:0203:c3f4:5CF4:0000:0000:0000:0010,123
CRYT3156747,2405:0203:c3f9:B951:0000:0000:0000:0010,123
CRYT3155947,2405:0203:c3f4:E76C:0000:0000:0000:0010,123
CRYT3346721,2405:0203:c3e0:BDC8:0000:0000:0000:0010,123
CRYT3413470,2405:0203:c3e1:35C5:0000:0000:0000:0010,123
CRYT3163282,2405:0203:c3f9:B095:0000:0000:0000:0010,123
CRYT3018323,2405:0203:c3f4:523B:0000:0000:0000:0010,123
CRYT3018725,2405:0203:c3f4:6180:0000:0000:0000:0010,123
CRYT3034607,2405:0203:c3f4:9D1E:0000:0000:0000:0010,123
CRYT3025103,2405:0203:c3f4:4351:0000:0000:0000:0010,123
CRYT3015945,2405:0203:c3f4:5C19:0000:0000:0000:0010,123
CRYT3025939,2405:0203:c3f4:6A53:0000:0000:0000:0010,123
CRYT3019212,2405:0203:c3f4:5936:0000:0000:0000:0010,123
CRYT3028541,2405:0203:c3f4:53CE:0000:0000:0000:0010,123
CRYT3038012,2405:0203:c3f4:9829:0000:0000:0000:0010,123
CRYT3038215,2405:0203:c3f4:659D:0000:0000:0000:0010,123
CRYT3036003,2405:0203:c3f4:5BCE:0000:0000:0000:0010,123
CRYT3163060,2405:0203:c3f9:AE78:0000:0000:0000:0010,123
CRYT3159764,2405:0203:c3f9:BA50:0000:0000:0000:0010,123
CRYT3150975,2405:0203:c3f9:A108:0000:0000:0000:0010,123
CRYT3156356,2405:0203:c3f9:AED7:0000:0000:0000:0010,123
CRYT3163851,2405:0203:c3f9:B00E:0000:0000:0000:0010,123
CRYT3067333,2405:0203:c3f4:C7C6:0000:0000:0000:0010,123
CRYT3065628,2405:0203:c3f4:744C:0000:0000:0000:0010,123
CRYT3065401,2405:0203:c3f4:7E74:0000:0000:0000:0010,123
CRYT3065519,2405:0203:c3f4:7599:0000:0000:0000:0010,123
CRYT3070381,2405:0203:c3f4:CC5A:0000:0000:0000:0010,123
CRYT3071441,2405:0203:c3f4:CB5D:0000:0000:0000:0010,123
CRYT3074306,2405:0203:c3f9:8AB0:0000:0000:0000:0010,123
CRYT3067201,2405:0203:c3f4:CA68:0000:0000:0000:0010,123
CRYT3040575,2405:0203:c3f4:BCFB:0000:0000:0000:0010,123
CRYT3158137,2405:0203:c3f9:B709:0000:0000:0000:0010,123
